,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:43.45,381,142
'0:0:43.5,374,144
'0:0:43.55,351,147
'0:0:43.6,349,150
'0:0:43.65,375,158
'0:0:43.7,398,158
'0:0:43.75,370,144
'0:0:43.8,359,147
'0:0:43.85,374,175
'0:0:43.9,417,195
'0:0:43.95,440,203
'0:0:44.0,413,201
'0:0:44.05,379,205
'0:0:44.1,363,217
'0:0:44.15,366,227
'0:0:44.2,356,226
'0:0:44.25,334,216
'0:0:44.3,316,206
'0:0:44.35,323,210
'0:0:44.4,343,206
'0:0:44.45,336,180
'0:0:44.5,310,165
'0:0:44.55,293,157
'0:0:44.6,295,148
'0:0:44.65,320,141
'0:0:44.7,339,136
'0:0:44.75,351,131
'0:0:44.8,353,128
'0:0:44.85,355,127
'0:0:44.9,379,129
'0:0:44.95,424,142
'0:0:45.0,407,147
'0:0:45.05,360,138
'0:0:45.1,357,149
'0:0:45.15,390,183
'0:0:45.2,409,206
'0:0:45.25,394,208
'0:0:45.3,364,202
'0:0:45.35,348,205
'0:0:45.4,363,222
'0:0:45.45,393,237
'0:0:45.5,377,243
'0:0:45.55,341,237
'0:0:45.6,337,232
'0:0:45.65,323,209
'0:0:45.7,289,173
'0:0:45.75,284,169
'0:0:45.8,298,179
'0:0:45.85,313,175
'0:0:45.9,347,167
'0:0:45.95,380,158
'0:0:46.0,375,154
'0:0:46.05,355,153
'0:0:46.1,350,150
'0:0:46.15,364,150
'0:0:46.2,389,156
'0:0:46.25,360,146
'0:0:46.3,345,146
'0:0:46.35,374,184
'0:0:46.4,423,203
'0:0:46.45,438,199
'0:0:46.5,405,200
'0:0:46.55,361,201
'0:0:46.6,347,211
'0:0:46.65,353,227
'0:0:46.7,353,229
'0:0:46.75,340,217
'0:0:46.8,331,202
'0:0:46.85,333,202
'0:0:46.9,339,191
'0:0:46.95,321,158
'0:0:47.0,303,147
'0:0:47.05,299,141
'0:0:47.1,316,130
'0:0:47.15,346,125
'0:0:47.2,335,121
'0:0:47.25,248,116
'0:0:47.3,216,114
'0:0:47.35,268,113
'0:0:47.4,365,114
'0:0:47.45,424,117
'0:0:47.5,468,132
'0:0:47.55,483,142
'0:0:47.6,452,137
