,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:38.45,2485,
'0:0:38.5,2489,
'0:0:38.55,2467,
'0:0:38.6,2471,
'0:0:38.65,2503,
'0:0:38.7,2556,
'0:0:38.75,2519,
'0:0:38.8,2486,
'0:0:38.85,2559,
'0:0:38.9,2565,
'0:0:38.95,2503,
'0:0:39.0,2488,
'0:0:39.05,2520,
'0:0:39.1,2499,
'0:0:39.15,2465,
'0:0:39.2,2510,
'0:0:39.25,2507,
'0:0:39.3,2426,
'0:0:39.35,2380,
'0:0:39.4,2371,
'0:0:39.45,2379,
'0:0:39.5,2363,
'0:0:39.55,2348,
'0:0:39.6,2402,
'0:0:39.65,2471,
'0:0:39.7,2503,
'0:0:39.75,2513,
'0:0:39.8,2517,
'0:0:39.85,2528,
'0:0:39.9,2543,
'0:0:39.95,2556,
'0:0:40.0,2615,
'0:0:40.05,2686,
'0:0:40.1,2708,
'0:0:40.15,2700,
'0:0:40.2,2697,
'0:0:40.25,2713,
'0:0:40.3,2716,
'0:0:40.35,2697,
'0:0:40.4,2735,
'0:0:40.45,2790,
'0:0:40.5,2801,
'0:0:40.55,2787,
'0:0:40.6,2775,
'0:0:40.65,2781,
'0:0:40.7,2793,
'0:0:40.75,2806,
'0:0:40.8,2902,
'0:0:40.85,3017,
'0:0:40.9,3018,
'0:0:40.95,2967,
'0:0:41.0,2962,
'0:0:41.05,2993,
'0:0:41.1,2997,
'0:0:41.15,2912,
'0:0:41.2,2848,
'0:0:41.25,2850,
'0:0:41.3,2799,
'0:0:41.35,2730,
'0:0:41.4,2681,
'0:0:41.45,2646,
'0:0:41.5,2605,
'0:0:41.55,2558,
'0:0:41.6,2541,
'0:0:41.65,2594,
'0:0:41.7,2619,
'0:0:41.75,2572,
'0:0:41.8,2528,
'0:0:41.85,2517,
'0:0:41.9,2533,
'0:0:41.95,2525,
'0:0:42.0,2488,
'0:0:42.05,2488,
'0:0:42.1,2475,
'0:0:42.15,2446,
'0:0:42.2,2438,
'0:0:42.25,2438,
'0:0:42.3,2443,
'0:0:42.35,2433,
'0:0:42.4,2432,
'0:0:42.45,2473,
'0:0:42.5,2544,
'0:0:42.55,2544,
'0:0:42.6,2488,
'0:0:42.65,2478,
'0:0:42.7,2493,
'0:0:42.75,2479,
'0:0:42.8,2434,
'0:0:42.85,2460,
'0:0:42.9,2500,
'0:0:42.95,2447,
'0:0:43.0,2354,
'0:0:43.05,2305,
'0:0:43.1,2301,
'0:0:43.15,2318,
'0:0:43.2,2339,
'0:0:43.25,2350,
'0:0:43.3,2377,
'0:0:43.35,2407,
'0:0:43.4,2428,
'0:0:43.45,2438,
'0:0:43.5,2437,
'0:0:43.55,2433,
'0:0:43.6,2446,
'0:0:43.65,2515,
'0:0:43.7,2580,
'0:0:43.75,2584,
'0:0:43.8,2585,
'0:0:43.85,2602,
'0:0:43.9,2627,
'0:0:43.95,2632,
'0:0:44.0,2649,
'0:0:44.05,2709,
'0:0:44.1,2766,
'0:0:44.15,2769,
'0:0:44.2,2760,
'0:0:44.25,2781,
'0:0:44.3,2822,
'0:0:44.35,2822,
'0:0:44.4,2800,
'0:0:44.45,2839,
'0:0:44.5,2899,
'0:0:44.55,2903,
'0:0:44.6,2873,
'0:0:44.65,2860,
'0:0:44.7,2850,
'0:0:44.75,2820,
'0:0:44.8,2829,
'0:0:44.85,2904,
'0:0:44.9,2958,
'0:0:44.95,2932,
'0:0:45.0,2882,
'0:0:45.05,2842,
'0:0:45.1,2783,
'0:0:45.15,2707,
'0:0:45.2,2672,
'0:0:45.25,2707,
'0:0:45.3,2680,
'0:0:45.35,2599,
'0:0:45.4,2556,
'0:0:45.45,2557,
'0:0:45.5,2568,
'0:0:45.55,2544,
'0:0:45.6,2524,
'0:0:45.65,2571,
'0:0:45.7,2611,
'0:0:45.75,2577,
'0:0:45.8,2527,
'0:0:45.85,2521,
'0:0:45.9,2542,
'0:0:45.95,2546,
'0:0:46.0,2510,
'0:0:46.05,2527,
'0:0:46.1,2585,
'0:0:46.15,2559,
'0:0:46.2,2493,
'0:0:46.25,2465,
'0:0:46.3,2477,
'0:0:46.35,2475,
'0:0:46.4,2437,
'0:0:46.45,2445,
'0:0:46.5,2491,
'0:0:46.55,2480,
'0:0:46.6,2448,
'0:0:46.65,2442,
'0:0:46.7,2437,
'0:0:46.75,2423,
'0:0:46.8,2398,
'0:0:46.85,2430,
'0:0:46.9,2453,
'0:0:46.95,2408,
'0:0:47.0,2370,
'0:0:47.05,2365,
'0:0:47.1,2387,
'0:0:47.15,2392,
'0:0:47.2,2356,
'0:0:47.25,2366,
'0:0:47.3,2445,
'0:0:47.35,2490,
'0:0:47.4,2500,
'0:0:47.45,2516,
'0:0:47.5,2565,
'0:0:47.55,2630,
'0:0:47.6,2637,
'0:0:47.65,2631,
'0:0:47.7,2687,
'0:0:47.75,2710,
'0:0:47.8,2692,
'0:0:47.85,2681,
'0:0:47.9,2692,
'0:0:47.95,2708,
'0:0:48.0,2690,
'0:0:48.05,2697,
'0:0:48.1,2773,
'0:0:48.15,2813,
'0:0:48.2,2790,
'0:0:48.25,2780,
'0:0:48.3,2814,
'0:0:48.35,2860,
'0:0:48.4,2854,
'0:0:48.45,2867,
